log2_x,count,native_sin,native_cos,std_sin,std_cos
69,16777216,6.366197198e-01,9.999999782e-01,1.385996098e-08,1.385162180e-08
70,16777216,6.366196572e-01,9.999999389e-01,1.385566690e-08,1.385539421e-08
71,16777216,6.366197142e-01,9.999997875e-01,1.385398740e-08,1.385347064e-08
72,16777216,6.366197267e-01,9.999998921e-01,1.385286023e-08,1.385161037e-08
73,16777216,6.366197464e-01,9.999999008e-01,1.385872470e-08,1.385458747e-08
74,16777216,6.366197674e-01,9.999999333e-01,1.385580827e-08,1.385675908e-08
75,16777216,6.366198171e-01,1.000000032e+00,1.385563349e-08,1.385417034e-08
76,16777216,6.366197922e-01,1.000000107e+00,1.385434572e-08,1.385701898e-08
77,16777216,6.366197938e-01,9.999999620e-01,1.385196920e-08,1.385570555e-08
78,16777216,6.366197721e-01,1.000000088e+00,1.385939206e-08,1.386236640e-08
79,16777216,6.366197364e-01,9.999999955e-01,1.386330633e-08,1.386214379e-08
80,16777216,6.366196996e-01,9.999999408e-01,1.385936632e-08,1.385030721e-08
81,16777216,6.366198183e-01,9.999998148e-01,1.385211214e-08,1.385233964e-08
82,16777216,6.366198021e-01,1.000000072e+00,1.385793017e-08,1.385592416e-08
83,16777216,6.366198147e-01,1.000000034e+00,1.385333356e-08,1.385464282e-08
84,16777216,6.366197570e-01,1.000000108e+00,1.385086316e-08,1.385018865e-08
85,16777216,6.366198177e-01,9.999999688e-01,1.385680679e-08,1.385323851e-08
86,16777216,6.366197063e-01,1.000000131e+00,1.385469570e-08,1.386304148e-08
87,16777216,6.366194598e-01,9.999999983e-01,1.385842769e-08,1.385871340e-08
88,16777216,6.366195952e-01,9.999993450e-01,1.385422063e-08,1.385003086e-08
89,16777216,6.366198236e-01,9.999995095e-01,1.385181586e-08,1.385229299e-08
90,16777216,6.366199952e-01,1.000000020e+00,1.385423191e-08,1.385869568e-08
91,16777216,6.366196824e-01,1.000000573e+00,1.385229083e-08,1.385690831e-08
92,16777216,6.366198438e-01,9.999997523e-01,1.385534618e-08,1.385474633e-08
93,16777216,6.366197891e-01,1.000000166e+00,1.385565471e-08,1.385263633e-08
94,16777216,6.366199336e-01,9.999999602e-01,1.385665460e-08,1.385580694e-08
95,16777216,6.366197971e-01,1.000000397e+00,1.386125118e-08,1.385822403e-08
96,16777216,6.366197949e-01,1.000000167e+00,1.385997377e-08,1.385959248e-08
97,16777216,6.366197565e-01,1.000000013e+00,1.386230743e-08,1.385677892e-08
98,16777216,6.366197519e-01,1.000000004e+00,1.385943947e-08,1.385401965e-08
99,16777216,6.366197442e-01,9.999999695e-01,1.385784219e-08,1.385349329e-08
100,16777216,6.366197418e-01,9.999999385e-01,1.385172322e-08,1.384648277e-08
101,16777216,6.366196217e-01,9.999999904e-01,1.385873887e-08,1.385604614e-08
102,16777216,6.366198550e-01,9.999996080e-01,1.385840418e-08,1.385940604e-08
103,16777216,6.366197487e-01,1.000000201e+00,1.385820657e-08,1.385346804e-08
104,16777216,6.366197615e-01,9.999999162e-01,1.385010390e-08,1.385131299e-08
105,16777216,6.366197273e-01,1.000000013e+00,1.385469776e-08,1.385685493e-08
106,16777216,6.366198126e-01,9.999999155e-01,1.385662382e-08,1.385417594e-08
107,16777216,6.366197286e-01,1.000000114e+00,1.385255141e-08,1.385816359e-08
108,16777216,6.366196745e-01,9.999999423e-01,1.385192868e-08,1.385850784e-08
109,16777216,6.366192558e-01,1.000000011e+00,1.385161107e-08,1.385770042e-08
110,16777216,6.366200676e-01,9.999986493e-01,1.385948042e-08,1.385522380e-08
111,16777216,6.366197034e-01,1.000000732e+00,1.385665464e-08,1.385286088e-08
112,16777216,6.366197600e-01,9.999998161e-01,1.385430162e-08,1.385554827e-08
113,16777216,6.366197569e-01,9.999999858e-01,1.385753328e-08,1.385521656e-08
114,16777216,6.366197314e-01,9.999999467e-01,1.385642392e-08,1.385090516e-08
115,16777216,6.366198132e-01,9.999998888e-01,1.385900172e-08,1.385955484e-08
116,16777216,6.366197802e-01,1.000000105e+00,1.385724473e-08,1.385836796e-08
117,16777216,6.366197391e-01,1.000000035e+00,1.385385449e-08,1.385633285e-08
118,16777216,6.366196708e-01,9.999999635e-01,1.385353187e-08,1.385641204e-08
119,16777216,6.366193740e-01,9.999999536e-01,1.385019683e-08,1.385499060e-08
120,16777216,6.366197217e-01,9.999991295e-01,1.385617338e-08,1.385633990e-08
121,16777216,6.366198448e-01,9.999998244e-01,1.385461809e-08,1.385614585e-08
122,16777216,6.366198378e-01,1.000000150e+00,1.386073890e-08,1.385628737e-08
123,16777216,6.366197866e-01,1.000000132e+00,1.385501692e-08,1.385405264e-08
124,16777216,6.366197754e-01,1.000000002e+00,1.385384562e-08,1.385430192e-08
125,16777216,6.366197647e-01,9.999999916e-01,1.385468252e-08,1.385664239e-08
126,16777216,6.366197357e-01,9.999999993e-01,1.385700372e-08,1.385068947e-08
127,16777216,6.366197551e-01,9.999999516e-01,1.385433070e-08,1.385683446e-08
