x_center,weight,fast_sin,fast_cos,std_sin,std_cos
-2.434427510,3.067970276e-03,1.479767644e+00,1.562901286e+00,6.416069949e-01,2.669031732e-01
-2.431359549,3.067970276e-03,8.554295785e-01,2.489057160e+00,6.439877397e-01,2.723723415e-01
-2.428291587,3.067970276e-03,8.853440424e-01,2.421966540e+00,6.471292432e-01,2.736584225e-01
-2.425223626,3.067970276e-03,1.234834347e+00,3.328480051e+00,6.466504173e-01,2.728675485e-01
-2.422155664,3.067970276e-03,1.550922547e+00,3.326525975e+00,6.469116190e-01,2.735647149e-01
-2.419087702,3.067970276e-03,1.171367228e+00,2.853384874e+00,6.067681226e-01,2.735406199e-01
-2.416019741,3.067970276e-03,6.651356070e-01,2.055490749e+00,6.496226382e-01,2.733182123e-01
-2.412951779,3.067970276e-03,9.021383494e-01,1.490774878e+00,6.501486501e-01,2.729725867e-01
-2.409883818,3.067970276e-03,1.509713402e+00,1.300845757e+00,6.489590555e-01,2.734001542e-01
-2.406815856,3.067970276e-03,1.560378968e+00,1.912158913e+00,6.475203827e-01,2.728835323e-01
-2.403747895,3.067970276e-03,1.244063602e+00,3.005069794e+00,6.427313022e-01,2.736535661e-01
-2.400679933,3.067970276e-03,6.935377226e-01,3.614767322e+00,6.415291235e-01,2.734243327e-01
-2.397611971,3.067970276e-03,7.020766818e-01,3.404126963e+00,6.395932862e-01,2.730551286e-01
-2.394544010,3.067970276e-03,9.387793429e-01,2.799627268e+00,6.354856022e-01,2.742640545e-01
-2.391476048,3.067970276e-03,1.462150826e+00,1.974721675e+00,6.266845809e-01,2.765481569e-01
-2.388408087,3.067970276e-03,1.674152552e+00,1.491929045e+00,6.271400026e-01,2.756001096e-01
-2.385340125,3.067970276e-03,1.334967882e+00,1.496015062e+00,6.189443047e-01,2.754364560e-01
-2.382272164,3.067970276e-03,7.767544371e-01,2.433650047e+00,6.153378436e-01,2.736364578e-01
-2.379204202,3.067970276e-03,1.339461762e+00,2.444116230e+00,6.080371772e-01,2.758909541e-01
-2.376136240,3.067970276e-03,7.945183326e-01,3.397387205e+00,5.982976416e-01,2.760812536e-01
-2.373068279,3.067970276e-03,8.411884156e-01,3.427464860e+00,5.871691147e-01,2.770230618e-01
-2.370000317,3.067970276e-03,1.155049222e+00,2.984080299e+00,5.753749146e-01,2.769774993e-01
-2.366932356,3.067970276e-03,1.651124195e+00,2.241008588e+00,5.648839232e-01,2.790065084e-01
-2.363864394,3.067970276e-03,1.734230609e+00,1.752092396e+00,5.515715881e-01,2.795874724e-01
-2.360796433,3.067970276e-03,1.234302029e+00,1.694675798e+00,5.383334895e-01,2.814093829e-01
-2.357728471,3.067970276e-03,8.664530387e-01,2.513466775e+00,5.212417194e-01,2.820796358e-01
-2.354660509,3.067731857e-03,7.040539265e-01,1.857342616e+00,2.791178728e-01,3.966150371e-01
-2.351592548,3.067970276e-03,7.312872642e-01,3.459974482e+00,2.791630885e-01,4.096204692e-01
-2.348524586,3.067970276e-03,7.039294542e-01,4.007429307e+00,2.794326743e-01,4.200959228e-01
-2.345456625,3.067970276e-03,6.019852568e-01,3.928665296e+00,2.800798758e-01,4.307585559e-01
-2.342388663,3.067970276e-03,8.593538549e-01,3.420034708e+00,2.799505475e-01,4.393413002e-01
