x,x_over_pi,native_sin,ref,abs_err
np.float32(102941.76),32767.379213,np.float32(-0.9288648),np.float64(-0.9288633142228029),1.462865e-06
np.float32(102941.766),32767.381700,np.float32(-0.9317303),np.float64(-0.9317288652635731),1.405122e-06
np.float32(102941.77),32767.384186,np.float32(-0.93453896),np.float64(-0.9345375483767157),1.412080e-06
np.float32(102941.78),32767.386673,np.float32(-0.9372906),np.float64(-0.9372891921346895),1.416748e-06
np.float32(102941.79),32767.389160,np.float32(-0.939985),np.float64(-0.9399836285913422),1.348654e-06
np.float32(102941.8),32767.391647,np.float32(-0.942622),np.float64(-0.9426206932921602),1.312647e-06
np.float32(102941.805),32767.394134,np.float32(-0.9452015),np.float64(-0.945200225284306),1.290867e-06
np.float32(102941.81),32767.396620,np.float32(-0.9477233),np.float64(-0.9477220671264421),1.261941e-06
np.float32(102941.82),32767.399107,np.float32(-0.9501873),np.float64(-0.9501860648983408),1.260579e-06
np.float32(102941.83),32767.401594,np.float32(-0.95259327),np.float64(-0.9525920682102776),1.198754e-06
np.float32(102941.836),32767.404081,np.float32(-0.9549411),np.float64(-0.9549399302122118),1.163709e-06
np.float32(102941.84),32767.406568,np.float32(-0.9572306),np.float64(-0.9572295076027478),1.119934e-06
np.float32(102941.85),32767.409054,np.float32(-0.9594618),np.float64(-0.9594606606378827),1.147567e-06
np.float32(102941.86),32767.411541,np.float32(-0.96163434),np.float64(-0.9616332531395351),1.084763e-06
np.float32(102941.87),32767.414028,np.float32(-0.9637482),np.float64(-0.9637471525038565),1.064125e-06
np.float32(102941.875),32767.416515,np.float32(-0.96580327),np.float64(-0.9658022297093252),1.035862e-06
np.float32(102941.88),32767.419002,np.float32(-0.96779937),np.float64(-0.9677983593246209),1.006196e-06
np.float32(102941.89),32767.421488,np.float32(-0.9697364),np.float64(-0.9697354195162803),9.777501e-07
np.float32(102941.9),32767.423975,np.float32(-0.97161424),np.float64(-0.9716132920561331),9.495439e-07
np.float32(102941.91),32767.426462,np.float32(-0.9734328),np.float64(-0.9734318623285186),9.169836e-07
np.float32(102941.914),32767.428949,np.float32(-0.9751919),np.float64(-0.9751910193372807),8.718561e-07
np.float32(102941.92),32767.431436,np.float32(-0.9768915),np.float64(-0.9768906557125423),8.619266e-07
np.float32(102941.93),32767.433922,np.float32(-0.9785315),np.float64(-0.9785306677172596),8.121183e-07
np.float32(102941.94),32767.436409,np.float32(-0.9801117),np.float64(-0.9801109552535525),7.629242e-07
np.float32(102941.945),32767.438896,np.float32(-0.9816322),np.float64(-0.9816314218688151),7.511926e-07
np.float32(102941.95),32767.441383,np.float32(-0.98309267),np.float64(-0.9830919747616019),6.909107e-07
np.float32(102941.96),32767.443870,np.float32(-0.9844932),np.float64(-0.9844925247872924),6.712233e-07
np.float32(102941.97),32767.446356,np.float32(-0.98583364),np.float64(-0.9858329864635316),6.584034e-07
np.float32(102941.98),32767.448843,np.float32(-0.9871139),np.float64(-0.9871132779754477),6.150566e-07
np.float32(102941.984),32767.451330,np.float32(-0.9883339),np.float64(-0.9883333211806459),5.597207e-07
np.float32(102941.99),32767.453817,np.float32(-0.9894936),np.float64(-0.9894930416139771),5.668608e-07
np.float32(102942.0),32767.456304,np.float32(-0.9905929),np.float64(-0.9905923684920835),5.284462e-07
np.float32(102942.01),32767.458790,np.float32(-0.99163175),np.float64(-0.9916312347177187),5.115744e-07
np.float32(102942.016),32767.461277,np.float32(-0.9926101),np.float64(-0.9926095768838429),5.200476e-07
np.float32(102942.02),32767.463764,np.float32(-0.99352777),np.float64(-0.9935273352774925),4.347649e-07
np.float32(102942.03),32767.466251,np.float32(-0.9943849),np.float64(-0.9943844538834258),4.309509e-07
np.float32(102942.04),32767.468738,np.float32(-0.99518126),np.float64(-0.9951808803875405),3.821056e-07
np.float32(102942.05),32767.471224,np.float32(-0.9959169),np.float64(-0.9959165661800681),3.368389e-07
np.float32(102942.055),32767.473711,np.float32(-0.99659175),np.float64(-0.9965914663585393),2.804486e-07
np.float32(102942.06),32767.476198,np.float32(-0.99720585),np.float64(-0.9972055397305262),3.137317e-07
np.float32(102942.07),32767.478685,np.float32(-0.997759),np.float64(-0.9977587488161548),2.357496e-07
np.float32(102942.08),32767.481171,np.float32(-0.99825126),np.float64(-0.9982510598503941),1.994765e-07
np.float32(102942.086),32767.483658,np.float32(-0.9986826),np.float64(-0.9986824427851161),1.753561e-07
np.float32(102942.09),32767.486145,np.float32(-0.99905306),np.float64(-0.9990528712909297),1.897175e-07
np.float32(102942.1),32767.488632,np.float32(-0.9993606),np.float64(-0.9993623227587882),1.701783e-06
np.float32(102942.11),32767.491119,np.float32(-0.9995939),np.float64(-0.999610778301369),1.686475e-05
np.float32(102942.12),32767.493605,np.float32(-0.9997715),np.float64(-0.9997982227542265),2.674696e-05
np.float32(102942.125),32767.496092,np.float32(-0.9999281),np.float64(-0.9999246446767173),3.472122e-06
np.float32(102942.13),32767.498579,np.float32(-1.0),np.float64(-0.9999900363526988),9.963647e-06
np.float32(102942.14),32767.501066,np.float32(-0.0),np.float64(-0.9999943937910002),9.999944e-01
