x_center,weight,native_sin,native_cos,std_sin,std_cos
-2.597029474,3.067970276e-03,5.699658935e-01,3.780481614e-01,4.429450345e-01,4.794055791e-01
-2.593961512,3.067970276e-03,6.629879619e-01,3.518080764e-01,4.413682722e-01,4.863074374e-01
-2.590893551,3.067970276e-03,2.625615332e-01,3.071003597e-01,4.403474745e-01,4.842760784e-01
-2.587825589,3.067970276e-03,2.672310958e-01,3.946768879e-01,4.376828421e-01,4.905077349e-01
-2.584757628,3.067970276e-03,2.718931673e-01,2.873875860e-01,4.387306239e-01,4.929268105e-01
-2.581689666,3.067970276e-03,3.578513327e-01,3.258584640e-01,4.366234440e-01,4.915781068e-01
-2.578621704,3.067970276e-03,7.448318164e-01,3.393549211e-01,4.357225127e-01,4.952024057e-01
-2.575553743,3.067970276e-03,4.637320275e-01,3.122507099e-01,4.362094854e-01,4.969825382e-01
-2.572485781,3.067970276e-03,5.910270502e-01,4.096887553e-01,4.348527898e-01,4.992856039e-01
-2.569417820,3.067970276e-03,7.443952412e-01,3.801849853e-01,4.330320457e-01,2.749242903e-01
-2.566349858,3.067970276e-03,5.360073205e-01,2.723045784e-01,4.329015826e-01,2.640257411e-01
-2.563281897,3.067970276e-03,4.980575773e-01,3.069943422e-01,4.315468859e-01,2.644697272e-01
-2.560213935,3.067970276e-03,3.344811879e-01,3.226699191e-01,4.311429570e-01,2.639587099e-01
-2.557145973,3.067970276e-03,2.814489832e-01,4.994990487e-01,4.330307313e-01,2.646893038e-01
-2.554078012,3.067970276e-03,2.926830891e-01,5.451402967e-01,4.274659561e-01,2.643243971e-01
-2.551010050,3.067970276e-03,2.774981568e-01,2.879748028e-01,4.268349315e-01,2.640084996e-01
-2.547942089,3.067970276e-03,6.349346433e-01,3.740008121e-01,4.243766545e-01,2.642504520e-01
-2.544874127,3.067970276e-03,3.531106126e-01,3.468553957e-01,4.222438539e-01,2.643418672e-01
-2.541806166,3.067970276e-03,3.511068197e-01,3.411771919e-01,4.218617651e-01,2.641531268e-01
-2.538738204,3.067970276e-03,4.364869439e-01,7.168018235e-01,4.203002447e-01,2.634607103e-01
-2.535670242,3.067970276e-03,3.349549999e-01,2.835327903e-01,4.196091685e-01,2.643873543e-01
-2.532602281,3.067970276e-03,5.895782608e-01,4.021651686e-01,4.178039253e-01,2.632525896e-01
-2.529534319,3.067970276e-03,5.864135709e-01,4.880863257e-01,4.176472831e-01,2.632837648e-01
-2.526466358,3.067970276e-03,4.623306373e-01,5.725350133e-01,4.145489624e-01,2.634889185e-01
-2.523398396,3.067731857e-03,4.345046534e-01,8.162715400e-01,4.146194416e-01,2.636369088e-01
-2.520330434,3.067970276e-03,2.889675256e-01,3.341065375e-01,4.106186659e-01,2.628011701e-01
-2.517262473,3.067970276e-03,7.026426821e-01,2.550781005e-01,4.109175610e-01,2.627346637e-01
-2.514194511,3.067970276e-03,3.399972744e-01,2.762312482e-01,4.106631126e-01,2.633609862e-01
-2.511126550,3.067970276e-03,2.639953149e-01,3.753168911e-01,4.086108874e-01,2.629723611e-01
-2.508058588,3.067970276e-03,2.764758705e-01,4.307828229e-01,4.058309475e-01,2.627876757e-01
-2.504990627,3.067970276e-03,2.614641286e-01,4.041120424e-01,4.053483310e-01,2.630473913e-01
-2.501922665,3.067970276e-03,6.043349366e-01,4.683777713e-01,4.043310164e-01,2.632146926e-01
-2.498854703,3.067970276e-03,4.635290218e-01,3.716482164e-01,4.051142029e-01,2.628965794e-01
-2.495786742,3.067970276e-03,4.606590502e-01,3.526129873e-01,4.003231152e-01,2.625599946e-01
-2.492718780,3.067970276e-03,6.031305916e-01,5.612621511e-01,3.999629646e-01,2.636656698e-01
-2.489650819,3.067970276e-03,5.164513958e-01,2.773181854e-01,3.983592341e-01,2.633451985e-01
-2.486582857,3.067970276e-03,3.908146261e-01,3.035521921e-01,3.964030721e-01,2.629202290e-01
-2.483514896,3.067970276e-03,4.248143942e-01,3.070287735e-01,3.939279367e-01,2.626334137e-01
-2.480446934,3.067970276e-03,2.729148077e-01,3.210554047e-01,3.917663112e-01,2.631995983e-01
-2.477378972,3.067970276e-03,2.962535788e-01,4.640757222e-01,3.922543094e-01,2.634373894e-01
-2.474311011,3.067970276e-03,2.924300443e-01,2.899541917e-01,3.905331142e-01,2.634967455e-01
